movie_name,ost_name,artist,year,mvdir,mvact,gerne,valence,acousticness,danceability,energy,loudness,tempo
Free Guy,Have a Great Day,Christophe Beck,2021,숀 레비,라이언 레이놀즈,"액션, 모험",0.141,0.976,0.418,0.199,-16.161,141.929
Free Guy,I Remember Everything,Christophe Beck,2021,숀 레비,라이언 레이놀즈,"액션, 모험",0.0394,0.896,0.315,0.251,-16.722,121.918
Free Guy,Reunited,Christophe Beck,2021,숀 레비,라이언 레이놀즈,"액션, 모험",0.0392,0.985,0.219,0.0448,-27.407,114.581
Ghostbusters: Afterlife,Trapped,Rob Simonsen,2021,제이슨 라이트맨,"캐리 쿤, 핀 울프하드, 맥케나 그레이스, 폴 러드","서스펜스, 모험, 액션",0.0324,0.745,0.219,0.181,-16.347,81.51
Ghostbusters: Afterlife,Under the Floor,Rob Simonsen,2021,제이슨 라이트맨,"캐리 쿤, 핀 울프하드, 맥케나 그레이스, 폴 러드","서스펜스, 모험, 액션",0.0325,0.911,0.0726,0.0378,-29.651,74.181
Ghostbusters: Afterlife,Lab Partners,Rob Simonsen,2021,제이슨 라이트맨,"캐리 쿤, 핀 울프하드, 맥케나 그레이스, 폴 러드","서스펜스, 모험, 액션",0.232,0.937,0.558,0.116,-17.996,137.459
Godzilla vs. Kong,"Pensacola, Florida (Godzilla Theme)",Tom Holkenborg,2021,애덤 윈가드,"알렉산더 스카스가드, 밀리 바비 브라운",액션,0.0609,0.773,0.142,0.161,-15.399,159.885
Godzilla vs. Kong,Skull Island (Kong Theme),Tom Holkenborg,2021,애덤 윈가드,"알렉산더 스카스가드, 밀리 바비 브라운",액션,0.0397,0.851,0.257,0.176,-14.633,120.01
Godzilla vs. Kong,Mega,Tom Holkenborg,2021,애덤 윈가드,"알렉산더 스카스가드, 밀리 바비 브라운",액션,0.0383,0.237,0.0807,0.44,-13.925,80.978
Halloween Kills,The Myer's House,John Carpenter,2021,데이빗 고든 그린,"제이미 리 커티스, 주디 그리어, 앤디 마티첵",공포,0,0.966,0.757,0.016,-17.567,59.934
Halloween Kills,Halloween Kills (Main Title),John Carpenter,2021,데이빗 고든 그린,"제이미 리 커티스, 주디 그리어, 앤디 마티첵",공포,0.0394,0.964,0.468,0.227,-14.155,135.969
House of Gucci,Faith,George Michael,2021,리들리 스콧,"레이디 가가, 아담 드라이버, 자레드 레토, 알 파치노, 제레미 아이언스, 셀마 헤이엑","스릴러, 드라마, 범죄",0.607,0.0094,0.887,0.48,-11.994,95.846
House of Gucci,House of Gucci Score Suite,Harry Gregson,2021,리들리 스콧,"레이디 가가, 아담 드라이버, 자레드 레토, 알 파치노, 제레미 아이언스, 셀마 헤이엑","스릴러, 드라마, 범죄",0.0655,0.809,0.357,0.403,-14.739,174.023
In the Heights,In The Heights,Anthony RamosAnthony Ramos,2021,존 추,"안소니 라모스, 멜리사 바레사, 코리 호킨스, 레슬리 그레이스, 스테파니 비트리즈, 린-마누엘 미란다",뮤지컬,0.713,0.121,0.575,0.535,-7.452,167.834
In the Heights,When You're Home,Leslie GraceLeslie Grace,2021,존 추,"안소니 라모스, 멜리사 바레사, 코리 호킨스, 레슬리 그레이스, 스테파니 비트리즈, 린-마누엘 미란다",뮤지컬,0.314,0.0344,0.602,0.616,-8.109,102.06
Jungle Cruise,Jungle Cruise Suite,James Newton Howard,2021,자움 콜렛 세라,"드웨인 존슨, 에밀리 블런트","액션, 모험",0.0389,0.655,0.167,0.248,-14.847,91.79
Jungle Cruise,Nothing Else Matters (feat. Metallica) (Jungle Cruise Version Part 2),James Newton Howard,2021,자움 콜렛 세라,"드웨인 존슨, 에밀리 블런트","액션, 모험",0.191,0.873,0.439,0.278,-20.265,150.176
Jungle Cruise,I Built a Boat,James Newton Howard,2021,자움 콜렛 세라,"드웨인 존슨, 에밀리 블런트","액션, 모험",0.0524,0.972,0.13,0.112,-24.984,90.158
Mortal Kombat,Techno Syndrome 2021 (Mortal Kombat),Benjamin？Wallfisch,2021,사이먼 맥쿼이드,"루이스 탄, 조 타슬림, 루디 린, 제시카 맥나미, 사나다 히로유키, 아사노 타다노부, 메카드 브룩스, 조쉬 로슨, 친 한","액션, 모험, 판타지",0.273,0.00016,0.534,0.968,-5.346,141.974
Mortal Kombat,I Am Scorpion,Benjamin Wallfisch,2021,사이먼 맥쿼이드,"루이스 탄, 조 타슬림, 루디 린, 제시카 맥나미, 사나다 히로유키, 아사노 타다노부, 메카드 브룩스, 조쉬 로슨, 친 한","액션, 모험, 판타지",0.0723,0.000136,0.263,0.661,-11.627,155.318
No Time to Die,No Time To Die,Billie Eilish,2021,캐리 후쿠나가,"다니엘 크레이그, 라미 말렉, 레아 세이두, 라샤나 린치",액션,0.0517,0.917,0.38,0.219,-13.273,73.537
No Time to Die,Final Ascent,Hans Zimmer,2021,캐리 후쿠나가,"다니엘 크레이그, 라미 말렉, 레아 세이두, 라샤나 린치",액션,0.0346,0.159,0.203,0.0935,-15.575,41.858
No Time to Die,Home,Hans Zimmer,2021,캐리 후쿠나가,"다니엘 크레이그, 라미 말렉, 레아 세이두, 라샤나 린치",액션,0.0324,0.467,0.109,0.0696,-20.689,93.07
PAW Patrol: The Movie,Good Mood,Adam Levine(Maroon 5),2021,캘런 브런커,"정선혜, 신용우, 김새해, 엄상현, 박지윤, 문남숙, 전숙경, 은영선, 사성웅",애니메이션,0.777,0.00088,0.735,0.694,-5.258,121.46
Peter Rabbit 2: The Runaway,The Best of Times,Dominic Lewis,2021,윌 글럭,"제임스 코든, 도널 글리슨, 로즈 번","애니메이션, 모험, 코미디",0.416,0.866,0.396,0.285,-15.251,107.739
Peter Rabbit 2: The Runaway,Cheese Escape,Dominic Lewis,2021,윌 글럭,"제임스 코든, 도널 글리슨, 로즈 번","애니메이션, 모험, 코미디",0.126,0.369,0.384,0.575,-13.243,143.504
Ron’s Gone Wrong,Sunshine (From the Motion Picture “Ron’s Gone Wrong”),Liam Payne,2021,"사라 스미스, 진-필리프 바인, 옥타비오 E. 로드리게즈","자흐 갈리피아나키스, 잭 딜런 그레이저, 올리비아 콜맨, 에드 헬름스, 저스티스 스미스, 롭 딜레이니",애니메이션,0.787,0.0504,0.717,0.735,-5.764,107
Ron’s Gone Wrong,New Friends,Dave Bayley,2021,"사라 스미스, 진-필리프 바인, 옥타비오 E. 로드리게즈","자흐 갈리피아나키스, 잭 딜런 그레이저, 올리비아 콜맨, 에드 헬름스, 저스티스 스미스, 롭 딜레이니",애니메이션,0.753,0.107,0.75,0.518,-8.754,86.596
Ron’s Gone Wrong,Happy Late Birthday,Henry Jackman,2021,"사라 스미스, 진-필리프 바인, 옥타비오 E. 로드리게즈","자흐 갈리피아나키스, 잭 딜런 그레이저, 올리비아 콜맨, 에드 헬름스, 저스티스 스미스, 롭 딜레이니",애니메이션,0.118,0.693,0.271,0.177,-17.675,69.135
Shang-Chi and the Legend of the Ten Rings,Fire In The Sky,Anderson.Paak,2021,데스틴 크리튼,"시무 리우, 양조위, 아콰피나","액션, 모험, 판타지",0.737,0.0837,0.668,0.856,-6.386,79.008
Shang-Chi and the Legend of the Ten Rings,Xu Shang,Joel P West,2021,데스틴 크리튼,"시무 리우, 양조위, 아콰피나","액션, 모험, 판타지",0.568,0.24,0.373,0.748,-8.472,86.954
Shang-Chi and the Legend of the Ten Rings,Diamonds + And Pearls,DPR LIVEDPR LIVE,2021,데스틴 크리튼,"시무 리우, 양조위, 아콰피나","액션, 모험, 판타지",0.366,0.46,0.531,0.902,-2.886,94.009
Sing 2,A Sky Full of Stars,Taron Egerton,2021,가스 제닝스,"스칼릿 조핸슨, 태런 에저튼, 리즈 위더스푼, 매튜 맥커너히, 토리 켈리, 보노, 퍼렐 윌리엄스",애니메이션,0.429,0.152,0.44,0.676,-7.57,125.013
Sing 2,I Still Haven’t Found What I’m Looking For,Scarlett Johansson,2021,가스 제닝스,"스칼릿 조핸슨, 태런 에저튼, 리즈 위더스푼, 매튜 맥커너히, 토리 켈리, 보노, 퍼렐 윌리엄스",애니메이션,0.0632,0.0969,0.551,0.553,-8.226,101.042
Sing 2,Could Have Been Me,Halsey,2021,가스 제닝스,"스칼릿 조핸슨, 태런 에저튼, 리즈 위더스푼, 매튜 맥커너히, 토리 켈리, 보노, 퍼렐 윌리엄스",애니메이션,0.572,9.18E-05,0.552,0.662,-6.225,79.973
Space Jam: A New Legacy,Just For Me (feat. SZA) (Space Jam: A New Legacy),SAINt JHN,2021,말콤 D. 리,"르브론 제임스, 돈 치들, 젠데이아 콜먼, 소네쿠아 마틴 그린, 제프 버그먼, 에릭 바우사","애니메이션, 모험, 코미디",0.604,0.286,0.711,0.692,-4.34,98.929
Space Jam: A New Legacy,We Win (Space Jam: A New Legacy),Lil Baby,2021,말콤 D. 리,"르브론 제임스, 돈 치들, 젠데이아 콜먼, 소네쿠아 마틴 그린, 제프 버그먼, 에릭 바우사","애니메이션, 모험, 코미디",0.42,0.0184,0.448,0.921,-3.609,83.762
Space Jam: A New Legacy,A New Legacy,Kris Bowers,2021,말콤 D. 리,"르브론 제임스, 돈 치들, 젠데이아 콜먼, 소네쿠아 마틴 그린, 제프 버그먼, 에릭 바우사","애니메이션, 모험, 코미디",0.0379,0.000358,0.411,0.866,-8.96,169.101
Spider-Man: No Way Home,Arachnoverture,Michael Giacchino,2021,존 왓츠,"톰 홀랜드, 젠데이아 콜먼, 베네딕트 컴버배치, 존 파브로, 제이콥 배덜런, 마리사 토메이, 알프리드 몰리나","액션, 모험, SF",0.0537,0.453,0.176,0.201,-15.155,136.426
