id,movie_name,ost_name,cluster,gerne,mvdir,valence,acousticness,danceability,energy,loudness,tempo
0,Black Widow,Yelena Belova,3,0.159159159,0.826086957,0.039516129,0.671686035,0.394190871,0.303412273,0.625370938,0.480904614
1,Black Widow,The First Bite Is the Deepest,6,0.159159159,0.826086957,0.108870968,0.003692618,0.590248963,0.863098366,0.747376294,0.528972475
2,Black Widow,Red Rising,6,0.159159159,0.826086957,0.139112903,0.006021941,0.341286307,0.720156954,0.716229583,0.443973725
3,Clifford the Big Red Dog,Room For You,2,0.222222222,0.604347826,0.552419355,0.301203304,0.657676349,0.713110546,0.811334411,0.499908635
4,Cruella,Call me Cruella,6,0.63963964,0.842391304,0.247983871,0.083933756,0.602697095,0.570169134,0.73492726,0.485650811
5,Cruella,The Baroque Ball,7,0.63963964,0.842391304,0.469758065,0.413653347,0.467842324,0.439307278,0.776930686,0.39693012
6,Cruella,"Goodbye, Estella",6,0.63963964,0.842391304,0.16733871,0.114455911,0.657676349,0.496685169,0.72257473,0.47626421
7,Don't Look Up,Just Look Up (From Don’t Look Up),0,0.987987988,0.486956522,0.153225806,0.216865772,0.587136929,0.584261949,0.842625878,0.625339014
8,Don't Look Up,Don't Look Up,5,0.987987988,0.486956522,0.369959677,0.007156481,0.608921162,0.562116097,0.815459963,0.567168055
9,Don’t Breathe 2,Main On Ends,8,0.42042042,0.168478261,0.413306452,6.87E-06,0.445020747,0.946648628,0.796183261,0.781982727
10,Dune,Leaving Caladan,8,0.078078078,0.134782609,0.036290323,0.001262894,0.342323651,0.483598983,0.686675191,0.579237916
11,Dune,Dream of Arrakis,9,0.078078078,0.134782609,0.038709677,0.281122939,0.299792531,0.206775826,0.443943159,0.769196368
12,Dune,Eclipse (From Dune: Original Motion Picture Soundtrack) [Trailer Version],8,0.078078078,0.134782609,0.223790323,0.00599182,0.2406639,0.873164662,0.813216242,0.654638481
13,Encanto,Surface Pressure,5,0.954954955,0.627173913,0.372983871,0.017467749,0.674273859,0.587281838,0.767714541,0.865990883
14,Encanto,We Don't Talk About Bruno,5,0.954954955,0.627173913,0.836693548,0.358432344,0.598547718,0.452393463,0.762165553,0.989935371
15,Encanto,The Family Madrigal,5,0.954954955,0.627173913,0.560483871,0.12048002,0.616182573,0.631573543,0.814543174,0.67990825
16,Escape Room: Tournament of Champions,Escape Room: Tournament of Champions (Brian Tyler and Kill The Noise Remix) (feat. Kill The Noise),8,0.426426426,0.527173913,0.310483871,0.002236792,0.524896266,0.869138144,0.793312263,0.826641213
17,Escape Room: Tournament of Champions,Blood Money,6,0.426426426,0.527173913,0.114919355,0.007206682,0.348547718,0.637613321,0.685565394,0.672945238
18,Eternals,Eternals Theme,6,0.681681682,0.868478261,0.235887097,0.094074341,0.450207469,0.415148166,0.631860841,0.432870415
19,Eternals,Across the Oceans of Time,3,0.681681682,0.868478261,0.034979839,0.894578085,0.143153527,0.136311749,0.551279886,0.68389467
20,Eternals,Nach Mera Hero,6,0.681681682,0.868478261,0.069153226,0.216865772,0.637966805,0.423201203,0.69458853,0.635466156
21,F9: The Fast Saga,I Won,5,0.972972973,0.642391304,0.677419355,0.273090793,0.790456432,0.792634289,0.869019759,0.677994383
22,F9: The Fast Saga,Fast Lane,5,0.972972973,0.642391304,0.53125,0.347388143,0.616182573,0.726196732,0.857342759,0.855738714
23,F9: The Fast Saga,"Lane Switcha (feat. A$AP Rocky, Juicy J & Project Pat)",5,0.972972973,0.642391304,0.563508065,0.494978824,0.676348548,0.846992291,0.890877946,0.793740022
24,Fear Street Part Two: 1978,Cindy and Ziggy,1,0.366366366,0.222826087,0.032862903,0.989959818,0.269709544,0.019844697,0.342107168,0.625478467
25,Fear Street Part Two: 1978,Chased Through the Woods,1,0.366366366,0.222826087,0.039616935,0.898594158,0.46473029,0.301399014,0.632657,0.670757276
26,Fear Street Part Two: 1978,Heart of Darkness,9,0.366366366,0.222826087,0.068951613,0.88554192,0.522821577,0.456419982,0.679726893,0.384566928
27,Free Guy,Have a Great Day,1,0.81981982,0.425,0.142137097,0.979919635,0.433609959,0.199729418,0.57772202,0.682495336
28,Free Guy,I Remember Everything,1,0.81981982,0.425,0.039717742,0.899598176,0.326763485,0.25207416,0.564187315,0.586268249
29,Free Guy,Reunited,1,0.81981982,0.425,0.039516129,0.988955799,0.227178423,0.044507124,0.306400637,0.550986747
30,Ghostbusters: Afterlife,Trapped,3,0.792792793,0.658695652,0.03266129,0.747991421,0.227178423,0.181610084,0.573234577,0.391957914
31,Ghostbusters: Afterlife,Under the Floor,3,0.792792793,0.658695652,0.032762097,0.914658449,0.075311203,0.037460716,0.252261816,0.356714882
32,Ghostbusters: Afterlife,Lab Partners,7,0.792792793,0.658695652,0.233870968,0.940762924,0.578838174,0.116179156,0.533450747,0.661000404
33,Godzilla vs. Kong,"Pensacola, Florida (Godzilla Theme)",1,0.972972973,0.52826087,0.061391129,0.776103932,0.147302905,0.161477491,0.596106058,0.768840524
34,Godzilla vs. Kong,Skull Island (Kong Theme),1,0.972972973,0.52826087,0.040020161,0.854417355,0.26659751,0.176576936,0.6145866,0.577093231
35,Godzilla vs. Kong,Mega,0,0.972972973,0.52826087,0.038608871,0.237950155,0.083713693,0.442327167,0.631667833,0.389399681
36,Halloween Kills,The Myer's House,1,0.366366366,0.098913043,0,0.969879453,0.78526971,0.01551619,0.543800815,0.288205197
37,Halloween Kills,Halloween Kills (Main Title),1,0.366366366,0.098913043,0.039717742,0.967871416,0.485477178,0.227915049,0.626118845,0.653835427
